"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,66,"DOM","Dominican Republic",1,"Azua","Provincia","Province",NA,NA
2,66,"DOM","Dominican Republic",2,"Bahoruco","Provincia","Province",NA,"Baoruco"
3,66,"DOM","Dominican Republic",3,"Barahona","Provincia","Province",NA,NA
4,66,"DOM","Dominican Republic",4,"Dajabón","Provincia","Province",NA,"Libertador"
5,66,"DOM","Dominican Republic",5,"Distrito Nacional","Distrito","National District",NA,NA
6,66,"DOM","Dominican Republic",6,"Duarte","Provincia","Province",NA,NA
7,66,"DOM","Dominican Republic",7,"El Seybo","Provincia","Province",NA,"El Seibo"
8,66,"DOM","Dominican Republic",8,"Espaillat","Provincia","Province",NA,NA
9,66,"DOM","Dominican Republic",9,"Hato Mayor","Provincia","Province",NA,"Hato Major"
10,66,"DOM","Dominican Republic",10,"Independencia","Provincia","Province",NA,NA
11,66,"DOM","Dominican Republic",11,"La Altagracia","Provincia","Province",NA,NA
12,66,"DOM","Dominican Republic",12,"La Estrelleta","Provincia","Province",NA,"Elías Piña|San Rafael"
13,66,"DOM","Dominican Republic",13,"La Romana","Provincia","Province",NA,NA
14,66,"DOM","Dominican Republic",14,"La Vega","Provincia","Province",NA,NA
15,66,"DOM","Dominican Republic",15,"María Trinidad Sánchez","Provincia","Province",NA,"Maria Trinidad S|Trinidad S nchez Nagua"
16,66,"DOM","Dominican Republic",16,"Monseñor Nouel","Provincia","Province",NA,"Monsenor Novel"
17,66,"DOM","Dominican Republic",17,"Monte Cristi","Provincia","Province",NA,NA
18,66,"DOM","Dominican Republic",18,"Monte Plata","Provincia","Province",NA,NA
19,66,"DOM","Dominican Republic",19,"Pedernales","Provincia","Province",NA,NA
20,66,"DOM","Dominican Republic",20,"Peravia","Provincia","Province",NA,"José Trujillo Valdez"
21,66,"DOM","Dominican Republic",21,"Puerto Plata","Provincia","Province",NA,NA
22,66,"DOM","Dominican Republic",22,"Sánchez Ramírez","Provincia","Province",NA,NA
23,66,"DOM","Dominican Republic",23,"Salcedo","Provincia","Province",NA,"Hermanas Mirabal"
24,66,"DOM","Dominican Republic",24,"Samaná","Provincia","Province",NA,NA
25,66,"DOM","Dominican Republic",25,"San Cristóbal","Provincia","Province",NA,"Trujillo"
26,66,"DOM","Dominican Republic",26,"San José de Ocoa","Provincia","Province",NA,"José Trujillo Valdez"
27,66,"DOM","Dominican Republic",27,"San Juan","Provincia","Province",NA,"Benefactor|San Juan de la Maguana"
28,66,"DOM","Dominican Republic",28,"San Pedro de Macorís","Provincia","Province",NA,NA
29,66,"DOM","Dominican Republic",29,"Santiago Rodríguez","Provincia","Province",NA,"Santiago Rodriguez"
30,66,"DOM","Dominican Republic",30,"Santiago","Provincia","Province",NA,"Santiago de los Caballeros"
31,66,"DOM","Dominican Republic",31,"Santo Domingo","Provincia","Province",NA,NA
32,66,"DOM","Dominican Republic",32,"Valverde","Provincia","Province",NA,NA
