"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,145,"MEX","Mexico",1,"Aguascalientes","Estado","State",NA,NA
2,145,"MEX","Mexico",2,"Baja California Sur","Estado","State",NA,NA
3,145,"MEX","Mexico",3,"Baja California","Estado","State",NA,NA
4,145,"MEX","Mexico",4,"Campeche","Estado","State",NA,NA
5,145,"MEX","Mexico",5,"Chiapas","Estado","State",NA,NA
6,145,"MEX","Mexico",6,"Chihuahua","Estado","State",NA,NA
7,145,"MEX","Mexico",7,"Coahuila","Estado","State",NA,NA
8,145,"MEX","Mexico",8,"Colima","Estado","State",NA,NA
9,145,"MEX","Mexico",9,"Distrito Federal","Distrito Federal","Federal District",NA,NA
10,145,"MEX","Mexico",10,"Durango","Estado","State",NA,NA
11,145,"MEX","Mexico",11,"Guanajuato","Estado","State",NA,NA
12,145,"MEX","Mexico",12,"Guerrero","Estado","State",NA,NA
13,145,"MEX","Mexico",13,"Hidalgo","Estado","State",NA,NA
14,145,"MEX","Mexico",14,"Jalisco","Estado","State",NA,NA
15,145,"MEX","Mexico",15,"México","Estado","State",NA,NA
16,145,"MEX","Mexico",16,"Michoacán","Estado","State",NA,NA
17,145,"MEX","Mexico",17,"Morelos","Estado","State",NA,NA
18,145,"MEX","Mexico",18,"Nayarit","Estado","State",NA,NA
19,145,"MEX","Mexico",19,"Nuevo León","Estado","State",NA,NA
20,145,"MEX","Mexico",20,"Oaxaca","Estado","State",NA,NA
21,145,"MEX","Mexico",21,"Puebla","Estado","State",NA,NA
22,145,"MEX","Mexico",22,"Querétaro","Estado","State",NA,NA
23,145,"MEX","Mexico",23,"Quintana Roo","Estado","State",NA,NA
24,145,"MEX","Mexico",24,"San Luis Potosí","Estado","State",NA,NA
25,145,"MEX","Mexico",25,"Sinaloa","Estado","State",NA,NA
26,145,"MEX","Mexico",26,"Sonora","Estado","State",NA,NA
27,145,"MEX","Mexico",27,"Tabasco","Estado","State",NA,NA
28,145,"MEX","Mexico",28,"Tamaulipas","Estado","State",NA,NA
29,145,"MEX","Mexico",29,"Tlaxcala","Estado","State",NA,NA
30,145,"MEX","Mexico",30,"Veracruz","Estado","State",NA,NA
31,145,"MEX","Mexico",31,"Yucatán","Estado","State",NA,NA
32,145,"MEX","Mexico",32,"Zacatecas","Estado","State",NA,NA
