"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,145,"MEX","Mexico",1,"Aguascalientes",1,"Aguascalientes","Municipio","Municipality",NA,NA
2,145,"MEX","Mexico",1,"Aguascalientes",2,"Asientos","Municipio","Municipality",NA,NA
3,145,"MEX","Mexico",1,"Aguascalientes",3,"Calvillo","Municipio","Municipality",NA,NA
4,145,"MEX","Mexico",1,"Aguascalientes",4,"Cosío","Municipio","Municipality",NA,"Cosio"
5,145,"MEX","Mexico",1,"Aguascalientes",5,"Jesús María","Municipio","Municipality",NA,"Jesus Maria"
6,145,"MEX","Mexico",1,"Aguascalientes",6,"Pabellón de Arteaga","Municipio","Municipality",NA,"Pabellon de Arteaga"
7,145,"MEX","Mexico",1,"Aguascalientes",7,"Rincón de Romos","Municipio","Municipality",NA,"Rincon de Romos"
8,145,"MEX","Mexico",1,"Aguascalientes",8,"San José de Gracia","Municipio","Municipality",NA,"San Jose de Garcia"
9,145,"MEX","Mexico",1,"Aguascalientes",9,"Tepezalá","Municipio","Municipality",NA,"Tepezala"
10,145,"MEX","Mexico",2,"Baja California Sur",10,"Comondú","Municipio","Municipality",NA,"Comondu"
11,145,"MEX","Mexico",2,"Baja California Sur",11,"La Paz","Municipio","Municipality",NA,NA
12,145,"MEX","Mexico",2,"Baja California Sur",12,"Mulegé","Municipio","Municipality",NA,"Mulege"
13,145,"MEX","Mexico",3,"Baja California",13,"Ensenada","Municipio","Municipality",NA,NA
14,145,"MEX","Mexico",3,"Baja California",14,"Mexicali","Municipio","Municipality",NA,NA
15,145,"MEX","Mexico",3,"Baja California",15,"Mulegé","Municipio","Municipality",NA,"Mulege"
16,145,"MEX","Mexico",3,"Baja California",16,"Tecate","Municipio","Municipality",NA,NA
17,145,"MEX","Mexico",3,"Baja California",17,"Tijuana","Municipio","Municipality",NA,NA
18,145,"MEX","Mexico",4,"Campeche",18,"Calkiní","Municipio","Municipality",NA,"Calkini"
19,145,"MEX","Mexico",4,"Campeche",19,"Campeche","Municipio","Municipality",NA,NA
20,145,"MEX","Mexico",4,"Campeche",20,"Carmen","Municipio","Municipality",NA,NA
21,145,"MEX","Mexico",4,"Campeche",21,"Champotón","Municipio","Municipality",NA,"Champoton"
22,145,"MEX","Mexico",4,"Campeche",22,"Hecelchakán","Municipio","Municipality",NA,"Hecelchakan"
23,145,"MEX","Mexico",4,"Campeche",23,"Hopelchén","Municipio","Municipality",NA,"Hopelchen"
24,145,"MEX","Mexico",4,"Campeche",24,"Palizada","Municipio","Municipality",NA,NA
25,145,"MEX","Mexico",4,"Campeche",25,"Tenabo","Municipio","Municipality",NA,NA
26,145,"MEX","Mexico",5,"Chiapas",26,"Acacoyagua","Municipio","Municipality",NA,"Acacoyahua"
27,145,"MEX","Mexico",5,"Chiapas",27,"Acala","Municipio","Municipality",NA,NA
28,145,"MEX","Mexico",5,"Chiapas",28,"Acapetahua","Municipio","Municipality",NA,NA
29,145,"MEX","Mexico",5,"Chiapas",29,"Altamirano","Municipio","Municipality",NA,NA
30,145,"MEX","Mexico",5,"Chiapas",30,"Amatán","Municipio","Municipality",NA,"Amatan"
31,145,"MEX","Mexico",5,"Chiapas",31,"Amatenango de la Frontera","Municipio","Municipality",NA,NA
32,145,"MEX","Mexico",5,"Chiapas",32,"Amatenango del Valle","Municipio","Municipality",NA,NA
33,145,"MEX","Mexico",5,"Chiapas",33,"Angel Albino Corzo","Municipio","Municipality",NA,NA
34,145,"MEX","Mexico",5,"Chiapas",34,"Arriaga","Municipio","Municipality",NA,NA
35,145,"MEX","Mexico",5,"Chiapas",35,"Bejucal de Ocampo","Municipio","Municipality",NA,NA
36,145,"MEX","Mexico",5,"Chiapas",36,"Bella Vista","Municipio","Municipality",NA,NA
37,145,"MEX","Mexico",5,"Chiapas",37,"Berriozábal","Municipio","Municipality",NA,"Berriozabal"
38,145,"MEX","Mexico",5,"Chiapas",38,"Bochil","Municipio","Municipality",NA,NA
39,145,"MEX","Mexico",5,"Chiapas",39,"Cacahoatán","Municipio","Municipality",NA,NA
40,145,"MEX","Mexico",5,"Chiapas",40,"Catazajá","Municipio","Municipality",NA,"Catazaja"
41,145,"MEX","Mexico",5,"Chiapas",41,"Chalchihuitán","Municipio","Municipality",NA,"Chalchihuitan"
42,145,"MEX","Mexico",5,"Chiapas",42,"Chamula","Municipio","Municipality",NA,NA
